transaction_id,transaction_reference,account_id,transaction_type,amount,transaction_date,transaction_status,remarks,hour,day_of_week,day_of_month,month,is_weekend,account_average_amount,account_std_amount,account_transaction_count,amount_deviation,is_anomaly
1,TXN00000001,328,Deposit,18689.78,2025-07-20 06:29:00,Success,Normal transaction,6,6,20,7,1,18841.39,9168.18,19,0.0165,0
2,TXN00000002,72,UPI,15066.13,2025-03-05 07:21:00,Success,Normal transaction,7,2,5,3,0,7052.21,4827.0,23,1.6602,0
3,TXN00000003,17,Deposit,13415.35,2025-06-09 04:58:00,Success,Normal transaction,4,0,9,6,0,8891.42,4591.88,15,0.9852,0
4,TXN00000004,309,Deposit,14549.23,2025-05-25 18:56:00,Success,Normal transaction,18,6,25,5,1,24758.81,26535.48,23,0.3848,0
5,TXN00000005,360,Transfer,8906.96,2025-06-10 12:28:00,Success,Normal transaction,12,1,10,6,0,16741.99,9028.06,21,0.8679,0
6,TXN00000006,143,NEFT,16622.97,2025-01-05 17:34:00,Success,Normal transaction,17,6,5,1,1,16629.69,9355.99,24,0.0007,0
7,TXN00000007,82,UPI,7629.57,2025-09-05 18:18:00,Success,Normal transaction,18,4,5,9,0,16371.67,8190.28,24,1.0674,0
8,TXN00000008,111,IMPS,20807.37,2025-09-03 02:24:00,Success,Normal transaction,2,2,3,9,0,9078.27,5806.73,30,2.0199,0
9,TXN00000009,195,Deposit,16846.64,2025-09-08 11:03:00,Success,Normal transaction,11,0,8,9,0,8354.85,4120.69,24,2.0608,0
10,TXN00000010,414,Deposit,11240.14,2025-12-01 13:01:00,Success,Normal transaction,13,0,1,12,0,17007.59,6784.04,21,0.8501,0
11,TXN00000011,499,RTGS,9499.49,2025-02-27 09:07:00,Success,Normal transaction,9,3,27,2,0,24951.7,15456.14,24,0.9997,0
12,TXN00000012,425,Transfer,4022.21,2025-09-21 08:01:00,Success,Normal transaction,8,6,21,9,1,2037.45,1077.72,23,1.8416,0
13,TXN00000013,361,Deposit,9399.01,2025-06-15 22:48:00,Success,Normal transaction,22,6,15,6,1,18381.77,13839.95,15,0.649,0
14,TXN00000014,41,NEFT,6894.21,2025-03-15 13:07:00,Success,Normal transaction,13,5,15,3,1,3870.61,1559.36,20,1.939,0
15,TXN00000015,233,Transfer,6088.63,2025-09-23 15:54:00,Success,Normal transaction,15,1,23,9,0,17151.67,9358.39,24,1.1822,0
16,TXN00000016,182,Deposit,2358.95,2025-07-14 09:46:00,Success,Normal transaction,9,0,14,7,0,3619.97,2865.2,20,0.4401,0
17,TXN00000017,350,Transfer,15879.3,2025-05-05 14:51:00,Success,Normal transaction,14,0,5,5,0,14392.0,4840.01,28,0.3073,0
18,TXN00000018,126,Deposit,11251.14,2025-10-04 07:27:00,Success,Normal transaction,7,5,4,10,1,13692.72,6873.4,27,0.3552,0
19,TXN00000019,474,Transfer,17435.87,2025-06-09 22:03:00,Success,Normal transaction,22,0,9,6,0,25838.39,12423.69,13,0.6763,0
20,TXN00000020,432,UPI,26983.79,2025-02-10 17:35:00,Success,Normal transaction,17,0,10,2,0,24930.99,10414.46,14,0.1971,0
21,TXN00000021,17,NEFT,4421.48,2025-10-20 02:51:00,Success,Normal transaction,2,0,20,10,0,8891.42,4591.88,15,0.9734,0
22,TXN00000022,109,RTGS,5645.68,2025-08-18 03:23:00,Success,Normal transaction,3,0,18,8,0,7956.59,4749.68,15,0.4865,0
23,TXN00000023,256,Withdrawal,15108.92,2025-12-01 03:01:00,Success,Normal transaction,3,0,1,12,0,17271.48,6315.65,24,0.3424,0
24,TXN00000024,72,Deposit,7124.19,2025-07-11 07:44:00,Success,Normal transaction,7,4,11,7,0,7052.21,4827.0,23,0.0149,0
25,TXN00000025,220,RTGS,31512.23,2025-10-18 20:01:00,Success,Normal transaction,20,5,18,10,1,25148.11,14442.06,18,0.4407,0
26,TXN00000026,71,Transfer,10462.01,2025-03-08 04:45:00,Success,Normal transaction,4,5,8,3,1,23860.34,12232.57,23,1.0953,0
27,TXN00000027,441,Deposit,1109.0,2025-04-27 11:53:00,Success,Normal transaction,11,6,27,4,1,2926.78,1766.4,21,1.0291,0
28,TXN00000028,217,Transfer,17107.61,2025-10-08 04:17:00,Success,Normal transaction,4,2,8,10,0,11638.46,7211.6,18,0.7584,0
29,TXN00000029,240,Transfer,5809.67,2025-01-09 08:38:00,Success,Normal transaction,8,3,9,1,0,6008.84,2935.02,22,0.0679,0
30,TXN00000030,59,UPI,1065.42,2025-07-14 07:06:00,Success,Normal transaction,7,0,14,7,0,2320.19,1640.51,22,0.7649,0
31,TXN00000031,175,Deposit,38271.74,2025-11-13 14:04:00,Success,Normal transaction,14,3,13,11,0,20070.44,10636.12,21,1.7113,0
32,TXN00000032,2,IMPS,25355.39,2025-07-11 19:03:00,Failed,Normal transaction,19,4,11,7,0,23395.81,14208.36,29,0.1379,0
33,TXN00000033,391,Deposit,47377.18,2025-03-19 11:39:00,Success,Normal transaction,11,2,19,3,0,34046.16,19056.37,35,0.6996,0
34,TXN00000034,153,NEFT,4203.15,2025-05-25 20:13:00,Success,Normal transaction,20,6,25,5,1,4030.16,1549.15,15,0.1117,0
35,TXN00000035,391,Deposit,76933.29,2025-01-01 09:59:00,Success,Normal transaction,9,2,1,1,0,34046.16,19056.37,35,2.2505,0
36,TXN00000036,251,Deposit,20256.47,2025-09-22 07:32:00,Success,Normal transaction,7,0,22,9,0,10592.6,5971.73,21,1.6183,0
37,TXN00000037,426,NEFT,12176.57,2025-06-24 08:43:00,Success,Normal transaction,8,1,24,6,0,14143.8,7036.92,19,0.2796,0
38,TXN00000038,450,Transfer,4344.0,2025-02-27 08:22:00,Success,Normal transaction,8,3,27,2,0,2587.27,1571.08,19,1.1182,0
39,TXN00000039,249,NEFT,34381.86,2025-04-02 13:49:00,Success,Normal transaction,13,2,2,4,0,32436.27,24925.77,20,0.0781,0
40,TXN00000040,244,IMPS,20313.07,2025-05-01 05:48:00,Success,Normal transaction,5,3,1,5,0,11639.03,9094.16,19,0.9538,0
41,TXN00000041,447,Transfer,14502.98,2025-06-04 05:26:00,Pending,Normal transaction,5,2,4,6,0,29055.77,19208.46,18,0.7576,0
42,TXN00000042,387,UPI,10806.4,2025-05-27 11:22:00,Success,Normal transaction,11,1,27,5,0,8487.34,5136.0,21,0.4515,0
43,TXN00000043,205,IMPS,27487.69,2025-09-29 21:59:00,Success,Normal transaction,21,0,29,9,0,16275.82,6448.32,22,1.7387,0
44,TXN00000044,265,Withdrawal,8360.66,2025-06-30 12:27:00,Success,Normal transaction,12,0,30,6,0,23461.7,11147.24,22,1.3547,0
45,TXN00000045,174,Deposit,3155.43,2025-06-17 13:32:00,Success,Normal transaction,13,1,17,6,0,6107.5,3240.61,14,0.911,0
46,TXN00000046,4,Deposit,4940.93,2025-02-12 20:53:00,Success,Normal transaction,20,2,12,2,0,14816.29,9788.99,24,1.0088,0
47,TXN00000047,464,Deposit,12755.33,2025-08-29 14:39:00,Success,Normal transaction,14,4,29,8,0,16460.61,6013.9,11,0.6161,0
48,TXN00000048,122,Deposit,33318.99,2025-12-20 11:13:00,Success,Normal transaction,11,5,20,12,1,32369.5,28387.61,17,0.0334,0
49,TXN00000049,68,UPI,46048.29,2025-12-11 04:31:00,Success,Normal transaction,4,3,11,12,0,25731.92,14191.68,18,1.4316,0
50,TXN00000050,243,NEFT,23867.27,2025-05-19 15:39:00,Success,Normal transaction,15,0,19,5,0,24857.0,11401.96,20,0.0868,0
51,TXN00000051,338,Withdrawal,43446.88,2025-11-05 10:34:00,Success,Normal transaction,10,2,5,11,0,20212.4,11227.36,28,2.0695,0
52,TXN00000052,443,UPI,4526.44,2025-03-13 15:58:00,Success,Normal transaction,15,3,13,3,0,7589.83,4649.73,13,0.6588,0
53,TXN00000053,373,Withdrawal,1102.63,2025-03-21 13:36:00,Success,Normal transaction,13,4,21,3,0,3470.34,2517.59,27,0.9405,0
54,TXN00000054,98,Transfer,10644.53,2025-04-13 01:51:00,Success,Normal transaction,1,6,13,4,1,12786.01,6796.89,17,0.3151,0
55,TXN00000055,143,Withdrawal,15665.58,2025-02-24 21:26:00,Success,Normal transaction,21,0,24,2,0,16629.69,9355.99,24,0.103,0
56,TXN00000056,442,NEFT,24232.97,2025-03-13 07:04:00,Success,Normal transaction,7,3,13,3,0,27823.49,14780.51,21,0.2429,0
57,TXN00000057,277,NEFT,6433.68,2025-03-09 21:53:00,Pending,Normal transaction,21,6,9,3,1,26853.72,17408.27,23,1.173,0
58,TXN00000058,435,Deposit,2438.13,2025-10-23 22:36:00,Success,Normal transaction,22,3,23,10,0,3056.36,2066.44,20,0.2992,0
59,TXN00000059,110,NEFT,1164.35,2025-02-12 16:43:00,Success,Normal transaction,16,2,12,2,0,2330.22,972.69,20,1.1986,0
60,TXN00000060,2,IMPS,34387.4,2025-07-13 02:45:00,Pending,Normal transaction,2,6,13,7,1,23395.81,14208.36,29,0.7736,0
61,TXN00000061,402,Withdrawal,27664.06,2025-11-05 00:35:00,Success,Normal transaction,0,2,5,11,0,31351.49,12362.14,17,0.2983,0
62,TXN00000062,375,IMPS,1338.27,2025-12-21 09:11:00,Success,Normal transaction,9,6,21,12,1,2556.0,1660.38,26,0.7334,0
63,TXN00000063,152,Deposit,4801.16,2025-02-12 14:04:00,Success,Normal transaction,14,2,12,2,0,6457.02,2522.51,21,0.6564,0
64,TXN00000064,278,Deposit,9172.26,2025-08-17 08:38:00,Success,Normal transaction,8,6,17,8,1,16302.75,6297.31,19,1.1323,0
65,TXN00000065,300,Withdrawal,2503.21,2025-04-25 15:20:00,Success,Normal transaction,15,4,25,4,0,3018.2,2437.65,21,0.2113,0
66,TXN00000066,261,Deposit,26325.16,2025-05-16 07:31:00,Success,Normal transaction,7,4,16,5,0,19036.86,8338.52,19,0.8741,0
67,TXN00000067,35,UPI,14047.8,2025-06-21 06:29:00,Success,Normal transaction,6,5,21,6,1,25978.35,19983.64,26,0.597,0
68,TXN00000068,483,RTGS,15353.62,2025-06-29 06:55:00,Success,Normal transaction,6,6,29,6,1,12278.76,6997.98,23,0.4394,0
69,TXN00000069,21,Transfer,11571.89,2025-11-02 06:29:00,Success,Normal transaction,6,6,2,11,1,18636.41,9725.08,28,0.7264,0
70,TXN00000070,290,Transfer,9682.59,2025-07-09 21:12:00,Success,Normal transaction,21,2,9,7,0,16948.98,11457.09,23,0.6342,0
71,TXN00000071,367,Withdrawal,22674.34,2025-07-13 09:57:00,Success,Normal transaction,9,6,13,7,1,26415.93,10012.98,24,0.3737,0
72,TXN00000072,344,Transfer,6297.82,2025-11-29 22:34:00,Success,Normal transaction,22,5,29,11,1,11168.38,4713.59,16,1.0333,0
73,TXN00000073,385,IMPS,13650.32,2025-01-07 18:47:00,Success,Normal transaction,18,1,7,1,0,20506.12,12441.06,25,0.5511,0
74,TXN00000074,289,IMPS,3891.4,2025-02-23 08:19:00,Success,Normal transaction,8,6,23,2,1,7442.42,4492.82,23,0.7904,0
75,TXN00000075,260,Deposit,84938.49,2025-09-12 03:22:00,Success,Unusually large transaction,3,4,12,9,0,3471.46,2135.04,30,38.1571,1
76,TXN00000076,451,Deposit,19922.78,2025-07-27 12:30:00,Success,Normal transaction,12,6,27,7,1,24920.64,17214.12,24,0.2903,0
77,TXN00000077,427,Transfer,7702.16,2025-08-09 06:52:00,Success,Normal transaction,6,5,9,8,1,12133.83,5838.49,20,0.759,0
78,TXN00000078,414,UPI,16366.34,2025-01-06 16:43:00,Success,Normal transaction,16,0,6,1,0,17007.59,6784.04,21,0.0945,0
